statefips,year,month,number_schools,share_all_closed_50,share_all_closed_25,share_all_closed_75,share_elem_closed_50,share_elem_closed_25,share_elem_closed_75,share_middlehigh_closed_50,share_middlehigh_closed_25,share_middlehigh_closed_75,mean_all_change,mean_elem_change,mean_middlehigh_change,total_students,state_abbrev,state_name
56,2020,2,324,.015923567,.073248409,.0031847134,.016483517,.07692308,.0054945056,.012048192,.084337346,0,.37398031,.36728594,.36649016,93493,WY,WYOMING
1,2020,3,1384,.024691358,.12926652,.0029048657,.021383647,.10440251,.0012578616,.026957639,.14634146,.0051347883,.10458606,.12236951,.09331955,763927,AL,ALABAMA
2,2020,3,387,.15706806,.513089,.023560209,.17518248,.51459855,.02919708,.15510204,.48571429,.03265306,-.17900132,-.16963561,-.1463127,121628,AK,ALASKA
4,2020,3,1843,.08976464,.38861522,.012041599,.083127573,.38271606,.0041152262,.095557421,.39145014,.015926236,-.14070198,-.12598886,-.1419374,1101968,AZ,ARIZONA
5,2020,3,1007,.022954091,.19061877,.00099800399,.016791046,.19776119,0,.028142588,.18574108,.0018761726,.000085431966,-.010559576,.0049829902,468988,AR,ARKANSAS
6,2020,3,8964,.091887049,.482407,.0079560736,.081532247,.47794762,.0063257776,.10620954,.48429632,.010309278,-.20575438,-.20183043,-.20194694,5843303,CA,CALIFORNIA
8,2020,3,1800,.046067417,.27078652,.0095505621,.042076994,.259624,.011638317,.057627119,.29265538,.015819209,-.062231563,-.055299375,-.082262479,880889,CO,COLORADO
9,2020,3,1078,.080373831,.40467289,.010280374,.082926832,.41788617,.011382114,.063917525,.36494845,.008247423,-.14503174,-.14167376,-.14141917,511871,CT,CONNECTICUT
10,2020,3,204,.05882353,.36274511,.004901961,.061538462,.3923077,0,.072916664,.36458334,.010416667,-.14987807,-.15028946,-.17667019,131366,DE,DELAWARE
11,2020,3,193,.35233161,.82383418,.015544041,.38167939,.84732825,.022900764,.33663365,.81188118,.0099009899,-.37340516,-.37901178,-.379513,76357,DC,DISTRICT OF COLUMBIA
12,2020,3,3831,.058020476,.33945918,.0070884745,.05094178,.35359588,.0042808219,.06673459,.33112583,.010188487,-.1390803,-.14853577,-.12893046,2819724,FL,FLORIDA
13,2020,3,2234,.06193896,.35188511,.0053859963,.051937986,.35426357,.0054263566,.06818182,.34584981,.0049407114,-.13178615,-.13725375,-.12373904,1703075,GA,GEORGIA
15,2020,3,267,.048689138,.23595506,.0074906368,.05319149,.27127659,.010638298,.03773585,.2264151,.0094339624,-.073493466,-.094604306,-.039889768,175659,HI,HAWAII
16,2020,3,690,.038011696,.22076024,.0087719299,.031553399,.17718446,.012135922,.046961326,.27900553,.0055248621,-.0042964108,.034598529,-.053001143,299231,ID,IDAHO
17,2020,3,3893,.03735188,.24111283,.00309119,.034786087,.23510596,.0023990404,.046061724,.27222478,.0041455552,-.033539135,-.036681581,-.040744938,1972586,IL,ILLINOIS
18,2020,3,1821,.035714287,.21318682,.0060439561,.03125,.2109375,.0069444445,.038869258,.21201414,.0070671379,.011386381,-.0013234954,.031337146,1026030,IN,INDIANA
19,2020,3,1308,.032282859,.1652575,.001537279,.032303371,.14185393,.0014044944,.034920637,.1952381,.0015873016,.03022619,.046452671,.0091555696,493584,IA,IOWA
20,2020,3,1310,.042780749,.24980901,.0061115357,.034749035,.24710424,.0038610038,.057663128,.25341427,.0075872536,-.038416117,-.039767489,-.028175045,484544,KS,KANSAS
21,2020,3,1383,.046647232,.25437316,.0080174925,.044776119,.23507462,.0087064672,.053857353,.26928675,.0087336246,-.062057778,-.050265588,-.071704924,711237,KY,KENTUCKY
22,2020,3,1274,.054245282,.27515724,.0078616356,.055488542,.29674307,.0084439088,.05832148,.26173541,.0085348506,-.084360458,-.095887274,-.073711991,682951,LA,LOUISIANA
23,2020,3,559,.068468466,.27927929,.0054054055,.078873239,.30704224,.0084507046,.0625,.2638889,.0034722222,-.0023830754,-.0157681,-.0072169672,175683,ME,MAINE
24,2020,3,1367,.081497796,.43465492,.009544787,.082039915,.43237251,.0099778268,.086003371,.45531198,.015177066,-.18507954,-.18262616,-.20590961,878056,MD,MARYLAND
25,2020,3,1738,.066397227,.38221708,.0069284067,.063071296,.38756856,.0054844609,.075835474,.39460155,.0089974292,-.12304015,-.11734787,-.14630094,926236,MA,MASSACHUSETTS
26,2020,3,3259,.057716049,.30586419,.0070987656,.050209206,.28661087,.0073221759,.078496404,.33720288,.0082918741,-.081672706,-.076426469,-.088670723,1495278,MI,MICHIGAN
27,2020,3,1977,.062149771,.32042792,.0096790623,.053030305,.30208334,.0047348486,.072097376,.3445693,.014981274,-.078079388,-.073471397,-.078421921,870756,MN,MINNESOTA
28,2020,3,958,.072251312,.35287958,.0052356021,.058380414,.36158192,.0018832391,.076635517,.35140187,.0074766357,-.10927047,-.097943857,-.12584296,502392,MS,MISSISSIPPI
29,2020,3,2217,.050747622,.23062982,.0045310375,.04688701,.21291314,.0038431976,.052258637,.25066429,.0044286977,-.029892866,-.02246099,-.026107097,900029,MO,MISSOURI
30,2020,3,677,.1411043,.41564417,.01993865,.12618296,.36593059,.028391168,.152,.45333335,.010666667,-.089593954,-.072129831,-.10057231,138851,MT,MONTANA
31,2020,3,588,.040955633,.29010239,.0017064846,.029255319,.25531915,.0026595744,.073469386,.37142858,0,-.068288349,-.060571734,-.092735641,243892,NE,NEBRASKA
32,2020,3,610,.092257001,.42998353,.0098846788,.068062827,.40314135,.0052356021,.13793103,.46743295,.01532567,-.17248034,-.14843102,-.19570966,448349,NV,NEVADA
33,2020,3,481,.037500001,.21250001,.0062500001,.048387095,.23870967,.0096774194,.020746889,.17427386,0,-.026901709,-.019397317,-.035436694,186989,NH,NEW HAMPSHIRE
34,2020,3,2309,.053959966,.3916449,.0060922541,.050550874,.38950098,.0064808815,.063943163,.42095914,.0035523979,-.16656144,-.16883186,-.18314223,1278236,NJ,NEW JERSEY
35,2020,3,730,.11432507,.39669421,.024793388,.096926711,.36879432,.016548464,.14201184,.44970414,.032544378,-.12878993,-.11133093,-.16041537,307579,NM,NEW MEXICO
36,2020,3,4457,.071139127,.43358847,.0076542096,.065492146,.43163538,.0057449252,.079780497,.43562683,.0088644996,-.18195443,-.17609431,-.18705527,2574921,NY,NEW YORK
37,2020,3,2549,.068423122,.35273299,.0082579628,.071102411,.34768429,.0091324197,.074285716,.36163265,.008163265,-.11936671,-.10863224,-.14103264,1546765,NC,NORTH CAROLINA
38,2020,3,464,.10652174,.41304347,.015217391,.095588237,.37867647,.014705882,.15175097,.47081712,.023346303,-.13244276,-.1130565,-.15927315,108444,ND,NORTH DAKOTA
39,2020,3,3344,.056603774,.27942497,.008086253,.052050475,.25867507,.0094637228,.065495208,.31363153,.0063897762,-.067802407,-.050938163,-.091846257,1683361,OH,OHIO
40,2020,3,1662,.041013271,.19963811,.0042219544,.036055144,.17815483,.0031813362,.04429134,.21161418,.0039370079,.0029624852,.0068889861,.016319452,673691,OK,OKLAHOMA
41,2020,3,1202,.05276382,.28559464,.0083752098,.046604529,.27962717,.0053262315,.069952302,.29888713,.014308427,-.066524759,-.069349349,-.059903935,562544,OR,OREGON
42,2020,3,2753,.053590957,.32628509,.0061975941,.053699285,.32637233,.0053699282,.050847456,.34039548,.0056497175,-.11607587,-.10599311,-.13381356,1621012,PA,PENNSYLVANIA
44,2020,3,297,.070707068,.38383839,.0033670033,.081967212,.39344263,.0054644807,.056910571,.39024389,0,-.12828688,-.13229524,-.13438648,140318,RI,RHODE ISLAND
45,2020,3,1203,.034309622,.18995816,.0075313807,.028885832,.19944979,.0082530947,.039927404,.18874773,.0036297641,-.039044201,-.040379606,-.039011978,767579,SC,SOUTH CAROLINA
46,2020,3,589,.068904594,.25795054,.0070671379,.052238807,.24253732,.01119403,.087193459,.29155314,.0081743868,.042764649,.022644529,.044284932,131347,SD,SOUTH DAKOTA
47,2020,3,1737,.071057193,.27498555,.0017331023,.053333335,.23999999,.0019047619,.081611574,.2964876,.0010330578,-.05368657,-.023650549,-.069875687,1000704,TN,TENNESSEE
48,2020,3,8183,.071402282,.38265243,.00736106,.061279602,.36663896,.0062318239,.091356106,.40579709,.010610766,-.1436695,-.13759825,-.15105958,5191224,TX,TEXAS
49,2020,3,933,.053705692,.31256714,.0053705694,.043478262,.25925925,.003220612,.071065992,.40862945,.007614213,-.079292595,-.042859718,-.15195313,637246,UT,UTAH
50,2020,3,282,.14642857,.47142857,.021428572,.13580246,.43827161,.024691358,.18446602,.48543689,.019417476,-.18312596,-.15347983,-.22284162,76813,VT,VERMONT
51,2020,3,1868,.03916309,.31276825,.0053648069,.030946065,.29885057,.0026525198,.043941412,.33288947,.0093209054,-.10487305,-.084082164,-.12908226,1255236,VA,VIRGINIA
53,2020,3,2129,.1228153,.49456778,.01369863,.092767298,.456761,.01336478,.16003977,.53280318,.016898608,-.21415076,-.19038767,-.23713475,1066614,WA,WASHINGTON
54,2020,3,640,.037617553,.22884013,.007836991,.035353534,.20959596,.012626262,.034700315,.23343849,0,.0048679742,.032031346,.011799418,256857,WV,WEST VIRGINIA
55,2020,3,2111,.052857142,.28999999,.0033333334,.050806452,.27903226,.0032258064,.063694268,.32302094,.0036396724,-.064488582,-.066094182,-.076461524,850280,WI,WISCONSIN
